ID,Master,Master Residence,Registree,Status,Sex,Origin,Age,Occupation,Registration Date,Registration District,Sources,Registration District Latitude,Registration District Longitude,Origin Latitude,Origin Longitude,Runaway at Registration,Transfer Date,Escape Date,Freedom Date,Death Date,Codice,Senhores,Morada,Registrados,Naturalidade,Ofícios,,,,,,,,,,,,,
2967,Amusa Mamad Cassamo,Unspecified,Lumucugo,Slave,Male,(Makhuwa) Macua,7.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 90v-91.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Amusa Mamad Cassamo,,Lumucugo,Macua,servante,,,,,,,,,,,,,
2968,Amusa Mamad Cassamo,Unspecified,Faraguj,Slave,Male,(Yao) Mujano,20.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 91v-92.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Amusa Mamad Cassamo,,Faraguj,Mujano,servante,,,,,,,,,,,,,
2969,Amusa Mamad Cassamo,Unspecified,Marigans,Slave,Male,(Makhuwa) Macua,13.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 91v-92.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Amusa Mamad Cassamo,,Marigans,Macua,servante,,,,,,,,,,,,,
2970,Amusa Mamad Cassamo,Unspecified,Tanfique,Slave,Male,(Yao) Mujano,32.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 91v-92.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Amusa Mamad Cassamo,,Tanfique,Mujano,servante,,,,,,,,,,,,,
2971,Amusa Mamad Cassamo,Unspecified,Caiqui,Slave,Male,(Makhuwa) Macua,35.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 91v-92.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Amusa Mamad Cassamo,,Caiqui,Macua,servante,,,,,,,,,,,,,
2972,Amusa Mamad Cassamo,Unspecified,Damungo,Slave,Male,(Yao) Mujano,30.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 91v-92.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Amusa Mamad Cassamo,,Damungo,Mujano,servante,,,,,,,,,,,,,
2973,Amusa Mamad Cassamo,Unspecified,Musiquinine,Slave,Male,(Makhuwa) Macua,20.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 91v-92.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Amusa Mamad Cassamo,,Musiquinine,Macua,servante,,,,,,,,,,,,,
2974,Amusa Mamad Cassamo,Unspecified,Mabuque,Slave,Male,(Yao) Mujano,10.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 92v-93.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Amusa Mamad Cassamo,,Mabuque,Mujano,servante,,,,,,,,,,,,,
2975,Amusa Mamad Cassamo,Unspecified,Adij,Slave,Male,(Moçambique) Moçambique,5.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 92v-93.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Amusa Mamad Cassamo,,Adij,Moçambique,servante,,,,,,,,,,,,,
2976,Amusa Mamad Cassamo,Unspecified,Muririao,Slave,Male,(Moçambique) Moçambique,6.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 92v-93.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Amusa Mamad Cassamo,,Muririao,Moçambique,servante,,,,,,,,,,,,,
2977,Amusa Mamad Cassamo,Unspecified,Nassahabu,Slave,Male,(Yao) Mujano,11.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 92v-93.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Amusa Mamad Cassamo,,Nassahabu,Mujano,servante,,,,,,,,,,,,,
2978,Amusa Mamad Cassamo,Unspecified,Opouhalini,Slave,Male,(Makhuwa) Macua,10.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 92v-93.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Amusa Mamad Cassamo,,Opouhalini,Macua,servante,,,,,,,,,,,,,
2979,Amusa Mamad Cassamo,Unspecified,Jamanga,Slave,Male,(Sofala) Sofala,50.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 92v-93.",-15.0359,40.73486,-20.02436,34.74092,,,,,,1161,Amusa Mamad Cassamo,,Jamanga,Sofala,servante,,,,,,,,,,,,,
2980,Amusa Mamad Cassamo,Unspecified,Muncaranaj,Slave,Male,(Makhuwa) Macua,35.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 93v-94.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Amusa Mamad Cassamo,,Muncaranaj,Macua,servante,,,,,,,,,,,,,
2981,Amusa Mamad Cassamo,Unspecified,Murimani,Slave,Male,(Makhuwa) Macua,28.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 93v-94.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Amusa Mamad Cassamo,,Murimani,Macua,servante,,,,,,,,,,,,,
2982,Amusa Mamad Cassamo,Unspecified,Murimatata,Slave,Male,(Yao) Mujano,34.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 93v-94.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Amusa Mamad Cassamo,,Murimatata,Mujano,servante,,,,,,,,,,,,,
2983,Amusa Mamad Cassamo,Unspecified,Salama,Slave,Male,(Makhuwa) Macua,12.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 93v-94.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Amusa Mamad Cassamo,,Salama,Macua,servante,,,,,,,,,,,,,
2984,Amusa Mamad Cassamo,Unspecified,Vontade,Slave,Male,(Makhuwa) Macua,12.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 93v-94.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Amusa Mamad Cassamo,,Vontade,Macua,servante,,,,,,,,,,,,,
2985,Amusa Mamad Cassamo,Unspecified,Zarecallaj,Slave,Male,(Moçambique) Moçambique,8.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 93v-94.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Amusa Mamad Cassamo,,Zarecallaj,Moçambique,servante,,,,,,,,,,,,,
2986,Amusa Mamad Cassamo,Unspecified,Munairica,Slave,Male,(Moçambique) Moçambique,6.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 94v-95.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Amusa Mamad Cassamo,,Munairica,Moçambique,servante,,,,,,,,,,,,,
2987,Guilherme Henrique de Araújo,Moçambique,Tomás,Slave,Male,(Moçambique) Moçambique,20.0,Mugeimo,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 94v-95.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Guilherme Henrique de Araújo,,Tomás,Moçambique,Mogeimo,,,,,,,,,,,,,
2988,Guilherme Henrique de Araújo,Moçambique,Março,Slave,Male,(Yao) Mujano,30.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 94v-95.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Guilherme Henrique de Araújo,,Março,Mujano,servante,,,,,,,,,,,,,
2989,Guilherme Henrique de Araújo,Moçambique,Carvalho,Slave,Male,(Makhuwa) Macua,18.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 94v-95.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Carvalho,Macua,servante,,,,,,,,,,,,,
2990,Guilherme Henrique de Araújo,Moçambique,Silva,Slave,Male,(Makhuwa) Macua,12.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 94v-95.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Silva,Macua,servante,,,,,,,,,,,,,
2991,Guilherme Henrique de Araújo,Moçambique,Fortunato,Slave,Male,(Makhuwa) Macua,11.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 94v-95.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Fortunato,Macua,servante,,,,,,,,,,,,,
2992,Guilherme Henrique de Araújo,Moçambique,Feliciano,Slave,Male,(Makhuwa) Macua,15.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 95v-96.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Feliciano,Macua,servante,,,,,,,,,,,,,
2993,Guilherme Henrique de Araújo,Moçambique,Augusto,Slave,Male,(Makhuwa) Macua,9.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 95v-96.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Augusto,Macua,servante,,,,,,,,,,,,,
2994,Guilherme Henrique de Araújo,Moçambique,Joaquim,Slave,Male,(Yao) Mujano,8.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 95v-96.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Guilherme Henrique de Araújo,,Joaquim,Mujano,servante,,,,,,,,,,,,,
2995,Guilherme Henrique de Araújo,Moçambique,António,Slave,Male,(Yao) Mujano,26.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 95v-96.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Guilherme Henrique de Araújo,,António,Mujano,servante,,,,,,,,,,,,,
2996,Guilherme Henrique de Araújo,Moçambique,Manoel,Slave,Male,(Moçambique) Moçambique,8.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 95v-96.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Guilherme Henrique de Araújo,,Manoel,Moçambique,servante,,,,,,,,,,,,,
2997,Guilherme Henrique de Araújo,Moçambique,Júlio,Slave,Male,(Moçambique) Moçambique,24.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 95v-96.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Guilherme Henrique de Araújo,,Júlio,Moçambique,servante,,,,,,,,,,,,,
2998,Guilherme Henrique de Araújo,Moçambique,Berrão,Slave,Male,(Yao) Mujano,15.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 96v-97.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Guilherme Henrique de Araújo,,Berrão,Mujano,servante,,,,,,,,,,,,,
2999,Guilherme Henrique de Araújo,Moçambique,Felisberto,Slave,Male,(Makhuwa) Macua,11.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 96v-97.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Felisberto,Macua,servante,,,,,,,,,,,,,
3000,Guilherme Henrique de Araújo,Moçambique,Bernardo,Slave,Male,(Makhuwa) Macua,13.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 96v-97.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Bernardo,Macua,servante,,,,,,,,,,,,,
3001,Guilherme Henrique de Araújo,Moçambique,Triste Vida,Slave,Female,(Makhuwa) Macua,34.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 96v-97.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Triste Vida,Macua,servante,,,,,,,,,,,,,
3002,Guilherme Henrique de Araújo,Moçambique,Mahé,Slave,Female,(Makhuwa) Macua,31.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 96v-97.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Mahé,Macua,servante,,,,,,,,,,,,,
3003,Guilherme Henrique de Araújo,Moçambique,Rosa,Slave,Female,(Makhuwa) Macua,32.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 96v-97.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Rosa,Macua,servante,,,,,,,,,,,,,
3004,Guilherme Henrique de Araújo,Moçambique,Duvidava,Slave,Female,(Makhuwa) Macua,11.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 97v-98.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Duvidava,Macua,servante,,,,,,,,,,,,,
3005,Guilherme Henrique de Araújo,Moçambique,Luísa,Slave,Female,(Makhuwa) Macua,24.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 97v-98.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Luísa,Macua,servante,,,,,,,,,,,,,
3006,Guilherme Henrique de Araújo,Moçambique,Equer,Slave,Female,(Yao) Mujano,16.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 97v-98.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Guilherme Henrique de Araújo,,Equer,Mujano,servante,,,,,,,,,,,,,
3007,Guilherme Henrique de Araújo,Moçambique,Aduana,Slave,Female,(Makhuwa) Macua,46.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 97v-98.",-15.0359,40.73486,-15.120919,39.268814,,,,,Unspecified,1161,Guilherme Henrique de Araújo,,Aduana,Macua,servante,,,,,,,,,,,,,
3008,Guilherme Henrique de Araújo,Moçambique,Quitéria,Slave,Female,(Makhuwa) Macua,26.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 97v-98.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Quitéria,Macua,servante,,,,,,,,,,,,,
3009,Guilherme Henrique de Araújo,Moçambique,Cada Male,Slave,Female,(Yao) Mujano,23.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 97v-98.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Guilherme Henrique de Araújo,,Cada Male,Mujano,servante,,,,,,,,,,,,,
3010,Guilherme Henrique de Araújo,Moçambique,Tomásia,Slave,Female,(Yao) Mujano,15.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 98v-99.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Guilherme Henrique de Araújo,,Tomásia,Mujano,servante,,,,,,,,,,,,,
3011,Guilherme Henrique de Araújo,Moçambique,Joana,Slave,Female,(Makhuwa) Macua,23.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 98v-99.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Joana,Macua,servante,,,,,,,,,,,,,
3012,Guilherme Henrique de Araújo,Moçambique,Josefa,Slave,Female,(Makhuwa) Macua,20.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 98v-99.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Josefa,Macua,servante,,,,,,,,,,,,,
3013,Guilherme Henrique de Araújo,Moçambique,Quantinha,Slave,Female,(Makhuwa) Macua,29.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 98v-99.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Quantinha,Macua,servante,,,,,,,,,,,,,
3014,Guilherme Henrique de Araújo,Moçambique,Leija Feita,Slave,Female,(Makhuwa) Macua,25.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 98v-99.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Leija Feita,Macua,servante,,,,,,,,,,,,,
3015,Guilherme Henrique de Araújo,Moçambique,Vontade,Slave,Female,(Makhuwa) Macua,18.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 98v-99.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Vontade,Macua,servante,,,,,,,,,,,,,
3016,Guilherme Henrique de Araújo,Moçambique,Mariana,Slave,Female,(Makhuwa) Macua,12.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 99v-100.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Mariana,Macua,servante,,,,,,,,,,,,,
3017,Guilherme Henrique de Araújo,Moçambique,Não Tem Vergonha,Slave,Female,(Makhuwa) Macua,13.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 99v-100.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Não Tem Vergonha,Macua,servante,,,,,,,,,,,,,
3018,Guilherme Henrique de Araújo,Moçambique,Joaquina,Slave,Female,(Makhuwa) Macua,14.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 99v-100.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Guilherme Henrique de Araújo,,Joaquina,Macua,servante,,,,,,,,,,,,,
3019,Eugênio dos Santos,Moçambique,Vicente,Slave,Male,(Yao) Mujano,30.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 99v-100.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Eugênio dos Santos,,Vicente,Mujano,servante,,,,,,,,,,,,,
3020,Eugênio dos Santos,Moçambique,Ventura,Slave,Male,(Yao) Mujano,25.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 99v-100.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Eugênio dos Santos,,Ventura,Mujano,servante,,,,,,,,,,,,,
3021,Eugênio dos Santos,Moçambique,Fortuna,Slave,Male,(Yao) Mujano,22.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 99v-100.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Eugênio dos Santos,,Fortuna,Mujano,servante,,,,,,,,,,,,,
3022,Eugênio dos Santos,Moçambique,Guilherme,Slave,Male,(Yao) Mujano,25.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 100v-101.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Eugênio dos Santos,,Guilherme,Mujano,servante,,,,,,,,,,,,,
3023,Eugênio dos Santos,Moçambique,Xavier,Slave,Male,(Yao) Mujano,19.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 100v-101.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Eugênio dos Santos,,Xavier,Mujano,servante,,,,,,,,,,,,,
3024,Eugênio dos Santos,Moçambique,Rafael,Slave,Male,(Yao) Mujano,25.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 100v-101.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Eugênio dos Santos,,Rafael,Mujano,servante,,,,,,,,,,,,,
3025,Eugênio dos Santos,Moçambique,Anchino,Slave,Male,(Makhuwa) Macua,14.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 100v-101.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Eugênio dos Santos,,Anchino,Macua,servante,,,,,,,,,,,,,
3026,Eugênio dos Santos,Moçambique,Jacinto,Slave,Male,(Makhuwa) Macua,14.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 100v-101.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Eugênio dos Santos,,Jacinto,Macua,servante,,,,,,,,,,,,,
3027,Eugênio dos Santos,Moçambique,Benedito,Slave,Male,(Makhuwa) Macua,20.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 100v-101.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Eugênio dos Santos,,Benedito,Macua,servante,,,,,,,,,,,,,
3028,Eugênio dos Santos,Moçambique,Domingo,Slave,Male,(Moçambique) Moçambique,5.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 101v-102.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Eugênio dos Santos,,Domingo,Moçambique,servante,,,,,,,,,,,,,
3029,Eugênio dos Santos,Moçambique,Meneses,Slave,Male,(Moçambique) Moçambique,2.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 101v-102.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Eugênio dos Santos,,Meneses,Moçambique,servante,,,,,,,,,,,,,
3030,Eugênio dos Santos,Moçambique,Pedro,Slave,Male,(Makhuwa) Macua,18.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 101v-102.",-15.0359,40.73486,-15.120919,39.268814,,,,,,1161,Eugênio dos Santos,,Pedro,Macua,servante,,,,,,,,,,,,,
3031,Eugênio dos Santos,Moçambique,Felipe,Slave,Male,(Yao) Mujano,16.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 101v-102.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Eugênio dos Santos,,Felipe,Mujano,servante,,,,,,,,,,,,,
3032,Eugênio dos Santos,Moçambique,Não Sabia,Slave,Male,(Yao) Mujano,24.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 101v-102.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Eugênio dos Santos,,Não Sabia,Mujano,servante,,,,,,,,,,,,,
3033,Eugênio dos Santos,Moçambique,Matias,Slave,Male,(Yao) Mujano,20.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 101v-102.",-15.0359,40.73486,-15.02263,36.36115,,,,,,1161,Eugênio dos Santos,,Matias,Mujano,servante,,,,,,,,,,,,,
3034,Nuna Agira Binti Amusa,Unspecified,Muaniquinela,Slave,Female,(Moçambique) Moçambique,30.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 102v-103.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Nuna Agira Binti Amusa,,Muaniquinela,Moçambique,servante,,,,,,,,,,,,,
3035,Nuna Agira Binti Amusa,Unspecified,Zamalaca,Slave,Female,(Moçambique) Moçambique,32.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 102v-103.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Nuna Agira Binti Amusa,,Zamalaca,Moçambique,servante,,,,,,,,,,,,,
3036,Nuna Agira Binti Amusa,Unspecified,Joana,Slave,Female,(Moçambique) Moçambique,18.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 102v-103.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Nuna Agira Binti Amusa,,Joana,Moçambique,servante,,,,,,,,,,,,,
3037,Nuna Agira Binti Amusa,Unspecified,Mahala,Slave,Female,(Moçambique) Moçambique,20.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 102v-103.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Nuna Agira Binti Amusa,,Mahala,Moçambique,servante,,,,,,,,,,,,,
3038,Nuna Agira Binti Amusa,Unspecified,Manima,Slave,Female,(Moçambique) Moçambique,14.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 102v-103.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Nuna Agira Binti Amusa,,Manima,Moçambique,servante,,,,,,,,,,,,,
3039,Nuna Agira Binti Amusa,Unspecified,Chuva,Slave,Female,(Moçambique) Moçambique,12.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 102v-103.",-15.0359,40.73486,-15.0359,40.73486,,,,Unspecified,,1161,Nuna Agira Binti Amusa,,Chuva,Moçambique,servante,,,,,,,,,,,,,
3040,Nuna Agira Binti Amusa,Unspecified,Brenji,Slave,Female,(Moçambique) Moçambique,14.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 103v-104.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Nuna Agira Binti Amusa,,Brenji,Moçambique,servante,,,,,,,,,,,,,
3041,Nuna Agira Binti Amusa,Unspecified,Malapo,Slave,Female,(Moçambique) Moçambique,8.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 103v-104.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Nuna Agira Binti Amusa,,Malapo,Moçambique,servante,,,,,,,,,,,,,
3042,Nuna Agira Binti Amusa,Unspecified,Huadile,Slave,Female,(Moçambique) Moçambique,7.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 103v-104.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Nuna Agira Binti Amusa,,Huadile,Moçambique,servante,,,,,,,,,,,,,
3043,Nuna Agira Binti Amusa,Unspecified,Sofia,Slave,Female,(Moçambique) Moçambique,3.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 103v-104.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Nuna Agira Binti Amusa,,Sofia,Moçambique,servante,,,,,,,,,,,,,
3044,Nuna Agira Binti Amusa,Unspecified,Bariga,Slave,Female,(Moçambique) Moçambique,2.0,Servant,1857-00-00,Moçambique,"AHM, Fundo do Século XIX, Códices, 11-1161, ff. 103v-104.",-15.0359,40.73486,-15.0359,40.73486,,,,,,1161,Nuna Agira Binti Amusa,,Bariga,Moçambique,servante,,,,,,,,,,,,,
